no,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,35,44,12,20,30,59,32,28,34,58,24,11
2,14,41,17,21,61,14,14,07,18,21,10,18
3,08,08,52,35,57,06,06,20,22,06,42,32
4,67,"69/70",69,18,14,10,70,04,67,18,31,36
5,57,24,11,52,20,22,48,42,59,24,06,05
6,27,17,45,69,47,41,45,70,04,29,68,29
7,34,52,32,32,58,48,22,24,08,16,16,48
8,13,04,04,07,31,62,41,27,15,04,27,17
9,48,48,57,58,28,38,34,38,30,57,11,16
10,04,39,27,27,50,04,49,17,43,"51/53/60",14,07
11,32,42,20,"05/06/08/11/12/16/20/22/24/28/30",44,11,11,48,24,59,20,38
12,21,36,55,03,02,07,31,46,14,27,53,69
13,16,35,48,34,11,20,24,06,12,32,22,34
14,66,27,15,36,45,40,02,51,36,68,50,27
15,44,"05/06/08/11/12/16/20/22/24/28/30",16,57,24,28,12,11,06,42,05,24
16,41,01,14,47,69,15,62,60,69,15,51,51
17,11,38,35,38,22,12,28,30,42,22,30,20
18,15,14,68,65,04,51,15,69,07,45,21,13
19,06,32,24,59,38,"32/34/35/38/42/44/48/52/57/58/59",16,52,20,38,08,42
20,43,07,02,41,36,25,17,02,09,63,09,02
21,12,34,42,28,32,05,35,35,48,35,32,59
22,60,46,47,17,49,36,03,15,45,17,02,"10/14/15"
23,38,57,28,05,48,30,20,57,32,05,28,08
24,02,45,50,13,10,27,53,43,21,36,45,60
25,20,30,59,30,05,08,42,32,28,24,34,52
26,70,41,60,10,53,43,69,10,41,23,41,66
27,28,59,30,08,12,16,44,58,05,28,44,30
28,47,62,51,04,63,18,45,21,70,02,65,18
29,22,58,58,22,30,34,08,"05/06/08/11/12/16/20/22/24/28/30",44,20,12,57
30,51,15,61,63,07,21,47,33,51,41,07,36
31,24,48,22,52,06,57,38,44,38,"32/34/35/38/42/44/48/52/57/58/59",38,12
32,07,47,53,51,14,"67/68/69",27,41,53,25,40,56
33,58,05,34,44,44,06,32,48,52,11,52,06
34,26,60,45,21,26,45,65,47,26,31,17,53
35,57,20,57,11,34,32,48,34,16,30,06,24
36,14,"25/33/37/54",66,29,45,53,02,29,10,47,60,45
37,35,28,08,16,57,58,58,59,35,08,57,58
38,36,53,18,45,"17/18/21",47,"17/18/21",53,27,66,67,67
39,11,52,52,34,52,22,59,24,57,12,58,28
40,04,14,36,36,02,"01/03/09/19",60,45,68,04,04,41
41,32,11,06,42,20,24,16,05,22,44,22,32
42,68,67,46,68,31,02,56,68,31,10,31,47
43,52,08,32,06,22,35,57,20,58,52,11,48
44,17,02,07,47,51,14,14,31,40,50,21,04
45,59,22,12,35,24,52,35,16,11,34,42,16
46,"41/45/47",17,47,41,67,66,04,60,14,51,"40P",70
47,06,59,42,58,42,05,30,52,28,06,16,20
48,60,27,"40P/43P","10/14/15",21,"27/31/36",66,39,64,15,53,14
49,42,35,48,59,05,59,11,32,20,42,05,22
50,23,61,60,23,23,07,07,15,02,62,27,10
51,20,32,35,28,11,42,44,30,12,48,59,30
52,07,31,15,60,15,46,36,"62/63/64",17,41,41,17
53,44,57,11,24,58,28,06,22,48,16,32,"32/34/35/38/42/44/48/52/57/58/59"
54,15,"51/53/60",49,61,"43P/67P",17,50,51,47,07,61,19
55,28,24,59,44,48,12,42,12,34,58,48,06
56,69,65,14,02,41,41,51,04,13,55,10,21
57,38,58,05,38,59,08,32,42,05,11,35,24
58,18,21,41,17,04,70,15,67,60,31,43,27
59,58,20,20,12,12,16,58,34,16,28,24,11
60,21,04,70,26,29,15,"43P",18,07,53,47,64
61,05,16,44,42,44,32,38,58,32,57,12,08
62,"03P/09P/37P",49,"02/04/07",04,27,60,41,"27/31/36",63,61,70,02
63,12,34,28,30,20,44,05,57,38,05,44,28
64,27,18,21,53,07,39,10,02,04,17,15,23
65,24,12,38,48,06,57,08,59,24,32,08,59
66,51,10,64,"66/67",62,53,63,26,21,45,18,41
67,22,30,34,58,35,48,52,11,42,22,58,44
68,63,64,31,07,17,51,60,14,"67P",67,46,"61/62"
69,30,06,24,34,16,20,20,06,08,35,52,22
70,31,36,27,31,10,61,04,21,53,14,36,53
71,16,38,06,05,38,35,34,28,06,44,06,05
72,53,47,56,37,65,18,13,66,61,02,14,26
73,48,32,48,57,32,05,22,08,30,30,16,35
74,29,50,10,14,60,17,27,47,31,49,62,31
75,08,42,32,20,57,34,57,35,11,52,57,38
76,02,15,17,27,36,64,53,17,51,18,17,45
77,34,52,05,52,42,24,24,05,20,48,11,20
78,10,07,36,62,68,45,31,53,39,07,64,65
79,38,05,35,16,08,38,35,52,35,06,38,57
80,62,31,67,51,47,47,64,65,15,70,45,51
81,59,22,59,44,48,11,28,48,05,34,48,52
82,18,55,53,60,27,55,51,41,27,60,49,04
83,35,34,57,08,34,52,44,22,52,20,05,34
84,17,45,51,40,33,02,47,10,"41/45/47",47,60,54
85,24,11,30,32,28,12,30,44,44,08,59,58
86,19,02,01,53,53,31,23,37,17,56,"02/04/07",21
87,52,59,42,11,52,58,59,12,59,28,28,28
88,45,63,41,18,51,63,10,07,10,10,47,60
89,05,28,08,38,30,06,05,59,24,16,30,42
90,36,51,18,64,13,21,18,45,65,21,39,63
91,58,44,22,48,35,42,42,38,57,22,20,44
92,64,18,43,02,15,60,55,61,36,54,36,47
93,42,12,58,22,11,28,12,08,12,38,35,12
94,53,56,31,45,41,65,36,14,60,27,18,15
95,16,16,16,24,16,44,34,57,58,12,12,30
96,31,10,10,31,18,10,21,36,46,36,69,55
97,30,06,44,06,59,22,52,16,08,59,34,35
98,40,21,62,39,66,04,68,40,18,"65/66",15,07
99,08,42,38,12,08,30,38,58,30,11,08,22
100,10,66,21,15,60,56,07,18,02,14,51,31
