code,name,rarity
01,ゼッツ フィジカムインパクト,LR
01P,ゼッツ フィジカムインパクト,LR★
02,ゼッツ フィジカムインパクト,R
03,ゼッツ フィジカムインパクト,N
04,ゼッツ フィジカムインパクト,N
05,ゼッツ フィジカムインパクト,N
06,ゼロワン ライジングホッパー,R
07,ギーツワンネス,LR
08,ギーツワンネス,R
09,タイクーン ニンジャフォーム,N
10,ナーゴ ビートフォーム,R
11,バッファ ゾンビフォーム,N
12,パンクジャック モンスターフォーム,R
13,Xギーツ,LR
13P,Xギーツ,LR★
14,Xギーツ,N
15,仮面ライダーギーツワンネスコアID,R
16,レインボーガッチャード,N
17,ニジゴン,SR
18,ガヴ オーバーモード,SR
19,ガヴ マスターモード,SR
20,ガヴ アメイジングミフォーム,LR
21,ガヴ アメイジングミフォーム,R
22,ヴァレン フラッペカスタム,N
23,ヴラム アラモードモード,N
24,クウガ マイティフォーム,R
25,ファイズ ブラスターフォーム,SR
26,電王 クライマックスフォーム,LR
27,電王 クライマックスフォーム,N
28,ゼロノス ベガフォーム,SR
29,NEW電王 ストライクフォーム,R
30,ケータロス,R
31,キバ ドガバキフォーム,LR
32,キバ ドガバキフォーム,R
33,イクサ バーストモード,N
34,イクサ セーブモード(紅音也),SR
34P,イクサ セーブモード(紅音也),SR★
35,ダークキバ,R
36,ディケイド,N
37,W サイクロンジョーカー,N
38,オーズ タトバ コンボ,SR
39,バース(伊達明),R
40,バロン レモンエナジーアームズ,SR
41,ドライブ タイプフォーミュラ,SR
41P,ドライブ タイプフォーミュラ,SR★
42,ドライブ タイプフォーミュラ,N
43,マッハ,R
44,エグゼイド ハンターアクションゲーマー レベル5(フルドラゴン),SR
45,エグゼイド ハンターアクションゲーマー レベル5(フルドラゴン),N
46,ブレイブ クエストゲーマー レベル2,R
47,スナイプ シューティングゲーマー レベル2,N
48,レーザー バイクゲーマー レベル1,N
49,ビルド ジーニアスフォーム,LR
49P,ビルド ジーニアスフォーム,LR★
50,ビルド ジーニアスフォーム,N
51,クローズ,R
52,グリス,N
53,ローグ,R
54,エボル コブラフォーム(フェーズ1),SR
54P,エボル コブラフォーム(フェーズ1),SR★
55,ジオウ,N
56,新1号,R
57,ZX,N
58,BLACK RX,N
59,シン,LR
60,改造兵士レベル3,SR
61,ゼロワン ライジングホッパー,CP
62,セイバー ブレイブドラゴン,CP
63,リバイ レックスゲノム,CP
64,ギーツ マグナムブーストフォーム,CP
65,ガッチャード スチームホッパー,CP
66,ガヴ ポッピングミフォーム,CP
67,ゼッツ フィジカムインパクト,CP
67P,ゼッツ フィジカムインパクト,CP★
68,ゼッツドライバー,CP
69,ゴードゼロイダー,CP
70,無敵のエージェント,CP
